Title,Description,Priority,Labels,Project,Milestone
"Offline sale queue — UI: pending-sales indicator + ""retry now""","Milestone: M3 — Sale reliability & offline

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Medium,"feature,pos",POS in-store operations,M3
"Insufficient-stock check at checkout — warn (or block, per decision); today it silently oversells","Milestone: M3 — Sale reliability & offline

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Medium,"feature,pos,api",POS in-store operations,M3
"pos-api: compute a receipt payload server-side (lines, tax, tender, change, store info)","Milestone: M4 — Receipts & customer capture

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Medium,"feature,pos,api",POS in-store operations,M4
"On-screen receipt after a sale — replace the bare ""Sale complete"" screen","Milestone: M4 — Receipts & customer capture

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Medium,"feature,pos",POS in-store operations,M4
"Email receipt — capture email at checkout, enqueue an `email` job","Milestone: M4 — Receipts & customer capture

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Medium,"feature,pos",POS in-store operations,M4
Receipt email template (react-email in `packages/email-templates`),"Milestone: M4 — Receipts & customer capture

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Medium,"feature,pos",POS in-store operations,M4
Attach a customer to a POS sale — search existing customers,"Milestone: M4 — Receipts & customer capture

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Medium,"feature,pos,api",POS in-store operations,M4
Attach a customer to a POS sale — inline quick-create,"Milestone: M4 — Receipts & customer capture

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Medium,"feature,pos,api",POS in-store operations,M4
Bluetooth/USB receipt-printer support (spike + basic ESC/POS),"Milestone: M4 — Receipts & customer capture

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Low,"feature,pos",POS in-store operations,M4
"POS ""recent sales"" list + sale detail (device/location scoped)","Milestone: M4 — Receipts & customer capture

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Low,"feature,pos,api",POS in-store operations,M4
Reprint / re-send receipt for a past sale,"Milestone: M4 — Receipts & customer capture

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Low,"feature,pos",POS in-store operations,M4
Schema: `pos_shifts` + `cash_movements`,"Milestone: M5 — Cash management & shift reporting

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Low,"feature,pos,db",POS in-store operations,M5
"Open/close drawer flow — starting float, blind close count, variance","Milestone: M5 — Cash management & shift reporting

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Low,"feature,pos",POS in-store operations,M5
"Cash in / cash out (paid-in, paid-out, drops) with reason","Milestone: M5 — Cash management & shift reporting

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Low,"feature,pos",POS in-store operations,M5
X-report (mid-shift) + Z-report (close-out) by tender,"Milestone: M5 — Cash management & shift reporting

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Low,"feature,pos",POS in-store operations,M5
Return / refund at POS — cash path,"Milestone: M6 — Returns, voids, discounts

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Low,"feature,pos,api",POS in-store operations,M6
Return / refund at POS — card path (calls the Payments Terminal-refund endpoint),"Milestone: M6 — Returns, voids, discounts

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Low,"feature,pos,payments",POS in-store operations,M6
Return/refund writes `inventory_movements` `return` + updates order status,"Milestone: M6 — Returns, voids, discounts

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Low,"feature,pos,api",POS in-store operations,M6
Void an in-progress or just-completed sale,"Milestone: M6 — Returns, voids, discounts

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Low,"feature,pos,api",POS in-store operations,M6
Split tender — multiple `order_payments` rows in one sale,"Milestone: M6 — Returns, voids, discounts

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Low,"feature,pos",POS in-store operations,M6
"Barcode-scan cleanup — one shared wedge hook, drop dead `use-order-scanner` states, delete Expo-template leftovers","Milestone: M6 — Returns, voids, discounts

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Low,"tech-debt,pos",POS in-store operations,M6
